TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AMKR;23,80;1,26;14,39;1,52;0,87;15,00;8,42;6,11;4,90;10,72;0,28;0,04;0,88;3,84;-1,62;1,95;10,57;6,04;8,99;0,57;0,43;0,99;11,01;23,78;;15,65;1,65;;5.849.280.780,00
AMN;58,47;;6,92;2,88;0,84;33,31;10,79;7,29;3,55;6,84;2,17;1,34;0,50;16,55;-1,20;1,20;41,66;12,07;20,13;0,29;0,71;1,66;21,40;27,35;;20,28;8,45;;2.209.528.677,00
AMNB;40,51;2,96;12,82;1,31;0,14;0,00;37,02;26,47;8,66;-3,50;-12,67;-1,81;3,39;;-0,14;;10,24;1,08;9,20;0,11;0,89;0,04;8,24;17,69;;30,87;3,16;;430.584.841,00
AMOT;33,85;0,33;23,42;2,31;0,94;31,52;7,64;4,19;8,01;17,61;4,76;0,86;0,98;3,62;-1,58;2,73;9,88;3,99;7,47;0,40;0,60;0,95;14,82;16,69;;14,63;1,45;;547.699.770,00
AMOV;20,84;;6,87;3,07;0,81;59,40;21,01;25,27;;8,53;1,65;0,61;1,74;-7,95;-1,06;0,69;44,60;11,81;15,65;0,26;0,74;0,47;-3,44;23,06;;6,80;3,03;;54.453.980.000,00
AMP;335,24;1,58;13,98;8,32;0,20;85,65;23,87;16,09;9,71;8,00;-1,42;-1,26;2,25;;-0,20;;59,49;1,43;37,34;0,02;0,98;0,09;3,33;11,57;;40,32;23,98;;33.925.014.088,00
AMPH;53,49;;25,63;4,44;1,90;51,07;25,02;18,85;15,56;21,77;2,46;0,57;4,83;19,61;-2,63;1,53;17,30;7,40;9,94;0,43;0,57;0,39;15,75;90,45;;12,06;2,09;;2.613.286.044,00
AMPL;10,27;;-12,15;4,23;2,81;71,78;-38,30;-38,55;-12,94;-9,32;2,90;-1,01;4,68;5,69;-14,92;2,56;-34,85;-23,16;-34,85;0,66;0,34;0,60;;;;2,43;-0,85;;1.222.644.527,00
AMPY;6,30;;0,56;0,69;0,34;58,13;54,16;116,64;1,03;1,79;0,58;0,33;0,65;-19,45;-0,39;0,87;122,81;61,48;-10,32;0,50;0,50;0,53;7,82;;;9,16;11,25;;246.309.210,00
AMR;228,79;0,99;3,28;1,94;1,29;35,72;29,07;26,73;2,62;2,72;-0,30;-0,19;0,88;3,88;-2,38;3,65;59,08;39,26;59,11;0,66;0,34;1,47;19,98;56,45;;117,94;69,68;;3.039.154.844,00
AMRB;20,91;;15,15;1,35;0,14;0,00;38,49;27,38;8,18;-23,35;-34,12;-4,27;4,15;;-0,14;;8,90;0,90;8,56;0,10;0,90;0,03;5,07;6,02;;15,51;1,38;;125.261.355,00
AMRC;22,69;;22,45;1,41;0,39;18,21;4,07;3,85;9,98;39,70;18,45;1,22;0,86;6,99;-0,56;1,23;6,26;1,74;2,82;0,28;0,71;0,45;20,53;20,42;;16,15;1,01;;1.185.200.805,00
AMRH;0,00;;;;;20,66;-16,21;-19,35;;-0,69;-0,69;0,30;;;;0,81;-52,00;-24,48;-30,82;0,47;0,53;1,26;;;;;;;0,00
AMRHW;0,00;;;;;20,66;-16,21;-19,35;;-0,69;-0,69;0,30;;;;0,81;-52,00;-24,48;-30,82;0,47;0,53;1,26;;;;;;;0,00
AMRK;24,70;7,29;3,69;0,96;0,37;3,17;2,53;1,68;2,31;3,07;0,61;0,24;0,06;1,68;-2,07;1,37;26,10;10,12;20,08;0,39;0,61;6,01;4,07;;;25,66;6,70;;576.601.740,00
AMRN;0,69;;-5,37;0,51;0,34;57,07;-17,98;-16,27;;0,68;5,54;-0,58;0,87;0,62;-2,32;2,69;-9,49;-6,25;-11,48;0,66;0,34;0,38;15,31;;;1,35;-0,13;;281.721.342,00
AMRS;0,05;;-0,03;-0,03;0,03;2,78;-223,15;-229,12;-0,03;-1,59;-1,56;;0,07;-0,08;-0,04;0,52;-92,50;-90,42;-214,15;-0,98;1,94;0,39;16,15;;;-1,80;-1,66;;18.469.280,00
