TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
CERS;1,57;;-5,58;5,60;1,43;62,82;-23,77;-27,74;-6,92;-6,21;0,30;-0,26;1,55;3,75;-5,94;2,01;-100,36;-25,65;-36,19;0,26;0,74;0,92;29,69;;;0,28;-0,28;;284.479.290,00
CERT;13,05;;108,75;1,90;1,33;61,47;12,75;5,45;20,88;47,44;0,98;0,04;5,92;8,34;-1,71;3,43;1,75;1,22;2,95;0,70;0,30;0,22;;;;6,87;0,12;;2.085.078.105,00
CETX;4,98;;-0,45;0,66;0,12;43,30;-10,57;-18,67;-1,68;-0,34;0,45;-0,38;0,08;-5,14;-0,32;0,96;-148,48;-26,73;-57,32;0,18;0,82;1,43;-16,06;;;7,53;-11,18;;4.971.534,00
CETXP;0,97;;-0,09;0,13;0,02;43,30;-10,57;-18,67;-0,33;-0,34;0,45;-0,38;0,02;-1,00;-0,06;0,96;-148,48;-26,73;-57,32;0,18;0,82;1,43;-16,06;;;7,53;-11,18;;4.971.534,00
CETXW;0,01;;0,00;0,00;0,00;43,30;-10,57;-18,67;0,00;-0,34;0,45;-0,38;0,00;-0,01;0,00;0,96;-148,48;-26,73;-57,32;0,18;0,82;1,43;-16,06;;;7,53;-11,18;;4.971.534,00
CEVA;19,57;;-14,89;1,79;1,54;79,74;-10,58;-25,46;-74,26;-25,33;10,51;-0,52;3,79;3,10;-3,70;6,71;-12,01;-10,34;-12,01;0,86;0,14;0,41;9,00;;;10,94;-1,31;;462.497.810,00
CF;80,02;2,00;6,41;2,63;1,13;44,05;41,34;27,36;3,44;4,17;-0,07;-0,04;1,75;4,43;-1,62;6,55;41,09;17,62;33,06;0,43;0,57;0,64;22,05;56,45;;30,38;12,48;;15.288.341.130,00
CFACU;8,89;;;;;;;;;-0,28;-0,28;0,14;;;;0,45;-50,90;-1,10;-44,39;0,02;0,05;0,00;;;;;;;0,00
CFB;11,09;;8,98;0,85;0,08;0,00;26,39;19,32;5,89;-1,83;-8,41;-1,08;1,74;;-0,08;;9,43;0,88;6,89;0,09;0,91;0,05;21,23;75,04;;13,09;1,23;;546.702.621,00
CFBI;0,00;;;;;0,00;10,58;6,93;;-53,73;-53,73;-2,04;;;;;2,48;0,22;2,09;0,09;0,91;0,03;;;;;;;0,00
CFBK;16,60;1,39;6,18;0,74;0,06;0,00;27,57;18,84;4,27;-1,39;-5,61;-0,98;1,16;;-0,06;;11,94;0,90;8,30;0,08;0,92;0,05;31,65;68,28;;22,50;2,69;;108.721.700,00
CFFI;55,00;3,16;6,29;0,92;0,08;0,00;28,30;20,22;4,06;-5,31;-9,81;-2,01;1,27;;-0,08;;14,63;1,22;9,74;0,08;0,92;0,06;2,13;34,71;;59,74;8,74;;185.878.000,00
CFFN;5,11;12,13;11,93;0,65;0,07;0,00;51,20;15,44;3,34;9,28;5,68;1,03;1,84;;-0,07;;5,49;0,57;4,43;0,10;0,90;0,04;-2,05;0,09;;7,81;0,43;;694.635.004,00
CFG;24,97;6,73;5,38;0,49;0,05;0,00;32,57;19,39;2,84;-8,56;-11,76;-1,81;1,04;;-0,05;;9,18;0,97;11,12;0,11;0,89;0,05;7,04;4,64;;50,59;4,64;;11.641.588.310,00
CFII;9,19;;-6.805,93;93,92;0,94;;;;;-6.805,46;0,46;-0,01;;23.480,45;-0,94;1,05;-1,38;-0,01;-1,38;0,01;0,99;0,00;;;;0,10;0,00;;469.609.009,19
CFIIU;9,80;;-7.257,68;100,16;1,00;;;;;-6.805,46;0,46;-0,01;;25.039,00;-1,00;1,05;-1,38;-0,01;-1,38;0,01;0,99;0,00;;;;0,10;0,00;;469.609.009,19
CFIIW;1,65;;-1.221,96;16,86;0,17;;;;;-6.805,46;0,46;-0,01;;4.215,75;-0,17;1,05;-1,38;-0,01;-1,38;0,01;0,99;0,00;;;;0,10;0,00;;469.609.009,19
CFMS;2,26;;-0,43;0,56;0,26;33,21;-68,39;-72,73;-0,50;-0,31;0,14;-0,17;0,31;0,41;-1,35;5,07;-129,59;-61,23;-74,21;0,47;0,53;0,84;-4,50;;;4,07;-5,27;;17.803.150,00
CFR;93,81;3,76;8,84;2,00;0,12;0,00;37,07;26,52;5,56;-18,56;-24,88;-7,88;2,34;;-0,12;;22,67;1,39;12,23;0,06;0,94;0,05;8,87;9,72;;46,84;10,62;;6.008.267.832,00
CFRX;0,05;;-0,01;-0,48;0,03;;;;-0,02;0,39;0,40;;;13,05;-0,20;1,00;-3.235,20;-186,19;3.235,20;-0,06;1,06;0,00;;;;-0,10;-3,35;;535.240,00
CFX;39,06;;29,52;0,46;0,25;41,87;6,66;1,86;4,07;13,57;5,33;0,30;0,55;1,65;-0,34;2,25;1,55;0,84;2,83;0,54;0,46;0,45;3,88;-10,97;;85,27;1,32;;2.115.087.282,00
CFXA;177,71;;134,29;2,08;1,13;41,87;6,66;1,86;18,52;13,57;5,33;0,30;2,50;7,52;-1,55;2,25;1,55;0,84;2,83;0,54;0,46;0,45;3,88;-10,97;;85,27;1,32;;2.115.087.282,00
CG;29,90;5,99;26,29;1,72;0,50;100,00;39,41;15,26;8,73;7,44;-2,74;-0,46;4,01;;-0,50;;6,55;1,92;6,28;0,29;0,72;0,13;5,10;38,07;;17,36;1,14;;10.787.788.440,00
CGA;2,06;;-1,61;0,19;0,13;17,50;-14,27;-12,95;-1,68;1,98;3,44;-0,45;0,21;0,26;-0,74;2,76;-11,90;-8,30;-13,77;0,70;0,30;0,64;-9,52;;;10,78;-1,28;;27.564.654,00
CGBD;14,25;12,35;9,11;0,80;0,37;100,00;84,84;46,41;5,24;11,75;6,76;1,09;4,23;;-0,37;;8,84;4,01;7,50;0,45;0,55;0,09;-0,21;0,34;;17,71;1,56;;723.827.325,00
CGC;0,54;;-0,54;0,70;0,27;-20,48;-258,61;-250,55;-0,56;-0,93;-0,41;0,55;1,35;1,37;-0,45;1,96;-130,40;-50,36;-60,55;0,39;0,61;0,20;40,68;;;0,77;-1,01;;447.705.198,00
CGEN;0,54;;0,00;0,53;0,43;88,67;-373.522,22;-352.352,60;;0,00;0,00;-1,08;7,95;0,54;-5,73;7,29;-23.391,15;-19.164,87;-24.796,51;0,82;0,18;0,05;;;;1,02;-239,35;;47.696.688,00
CGIX;4,61;;-4,16;3,92;1,94;47,26;-60,26;-71,50;-6,62;-4,68;0,26;-0,21;2,98;-9,66;-2,73;0,59;-94,17;-46,70;-77,42;0,50;0,50;0,65;-6,46;;;1,18;-1,11;;18.833.246,83
CGNT;4,23;;-4,28;1,17;0,58;67,89;-10,90;-16,91;;-5,42;1,22;-0,21;0,72;5,12;-1,25;1,27;-27,28;-13,52;-24,56;0,50;0,50;0,80;;;;3,62;-0,99;;297.444.294,00
CGNX;35,38;0,79;25,91;4,23;3,11;71,56;25,86;22,59;20,72;21,15;-1,49;-0,28;5,85;11,49;-4,91;3,82;16,34;12,01;16,33;0,73;0,27;0,53;5,60;4,05;;8,36;1,37;;6.090.387.498,00
CGO;8,66;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CGRO;9,75;;-249,68;29,76;0,99;;;;;-225,90;0,59;-0,08;;391,60;-0,99;3,62;-11,92;-0,40;-13,16;0,03;0,97;0,00;;;;0,33;-0,04;;148.809.375,00
CGROU;11,20;;-286,81;34,19;1,14;;;;;-225,90;0,59;-0,08;;449,84;-1,14;3,62;-11,92;-0,40;-13,16;0,03;0,97;0,00;;;;0,33;-0,04;;148.809.375,00
CGROW;2,37;;-60,69;7,23;0,24;;;;;-225,90;0,59;-0,08;;95,19;-0,24;3,62;-11,92;-0,40;-13,16;0,03;0,97;0,00;;;;0,33;-0,04;;148.809.375,00
CHA;0,00;;;;;71,24;8,66;6,14;;4,35;4,35;0,10;;;;0,31;1,64;0,83;1,53;0,50;0,50;0,13;1,36;-1,31;;;;;0,00
CHCI;4,31;;6,79;1,38;1,03;23,57;16,58;14,81;5,85;4,75;-1,32;-0,30;1,01;;-1,03;;20,28;15,20;20,94;0,75;0,25;1,03;-2,85;;;3,13;0,63;;41.572.967,00
CHCO;95,09;2,80;12,25;2,22;0,23;0,00;48,49;36,85;8,53;0,67;-8,64;-2,06;4,52;;-0,23;;18,10;1,87;12,21;0,10;0,90;0,05;4,85;13,45;;42,89;7,76;;1.410.355.862,00
CHD;90,94;1,19;50,15;5,73;2,63;42,81;11,69;7,93;25,42;37,04;3,05;0,51;3,97;49,29;-3,23;1,41;11,42;5,25;8,82;0,46;0,54;0,66;7,32;-11,05;;15,87;1,81;;22.405.951.798,00
CHDN;118,58;0,60;24,52;9,95;1,31;32,77;31,06;15,15;9,80;18,09;6,13;5,10;3,72;-29,55;-1,39;0,55;40,59;5,34;10,93;0,13;0,87;0,35;15,44;25,61;;11,91;4,84;;8.845.451.384,00
CHE;584,50;0,34;35,86;8,61;5,62;34,53;14,45;10,99;22,96;26,74;-0,54;-0,17;3,94;90,13;-7,51;1,33;24,00;15,66;24,42;0,65;0,35;1,42;5,08;20,52;;67,92;16,30;;8.771.883.750,00
CHEF;23,99;;45,93;2,25;0,58;23,68;2,92;0,68;6,95;18,11;7,43;1,56;0,31;2,50;-1,02;2,14;4,90;1,25;6,80;0,26;0,74;1,85;14,96;14,07;;10,66;0,52;;951.568.148,00
CHEK;3,56;;-1,51;0,42;0,38;;;;;2,12;3,63;-1,02;;0,44;-7,09;13,04;-27,85;-25,43;-28,01;0,91;0,09;0,00;;;;8,45;-2,35;;20.825.288,00
CHEKZ;0,01;;0,00;0,00;0,00;;;;;2,12;3,63;-1,02;;0,00;-0,02;13,04;-27,85;-25,43;-28,01;0,91;0,09;0,00;;;;8,45;-2,35;;20.825.288,00
CHFS;5,28;;-0,91;0,89;0,72;54,52;-212,70;-212,82;-0,94;-0,01;0,91;-0,88;1,94;0,97;-9,79;5,17;-97,05;-79,13;-96,58;0,82;0,18;0,37;163,12;;;5,96;-5,79;;14.446.396,80
CHGG;8,53;;95,24;0,96;0,55;68,43;5,33;1,41;5,57;33,90;8,64;0,33;1,35;5,00;-0,68;2,31;1,00;0,57;0,91;0,57;0,43;0,41;24,63;;;8,92;0,09;;987.901.097,00
CHH;111,36;0,99;18,73;101,40;2,58;95,75;28,53;19,27;10,43;15,73;3,09;24,73;3,61;-94,71;-3,08;0,86;541,45;13,77;24,08;0,03;0,97;0,71;8,29;22,11;;1,10;5,95;;5.545.572.096,00
CHI;10,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHKP;143,12;;21,28;5,74;3,06;87,44;38,25;34,35;;17,27;-1,84;-0,55;7,31;45,76;-4,79;1,23;26,99;14,39;25,67;0,53;0,47;0,42;4,67;-0,15;;24,91;6,72;;16.744.138.344,00
CHL;0,00;;;;;56,54;10,83;11,27;;-21,34;-21,34;-0,41;;;;1,18;1,99;1,36;1,29;0,68;0,32;0,12;5,22;2,83;;;;;0,00
CHMA;3,76;;-2,42;3,47;1,36;95,78;-2.367,39;-2.968,35;-3,07;-1,43;1,60;-1,84;71,86;1,82;-9,68;7,91;-143,47;-56,38;-114,52;0,39;0,61;0,02;;;;1,08;-1,55;;217.720.544,00
CHMG;43,23;2,87;7,46;1,15;0,08;0,00;30,60;22,71;4,79;-10,48;-16,02;-3,34;1,70;;-0,08;;15,47;1,03;11,60;0,07;0,93;0,05;5,02;31,11;;37,45;5,79;;204.823.740,00
CHN;10,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHNG;27,49;;-117,28;2,74;0,94;59,39;3,01;-2,20;10,60;127,47;41,76;1,34;2,58;42,25;-1,06;1,23;-2,34;-0,80;0,72;0,34;0,66;0,36;;;;10,02;-0,23;;9.025.200.665,00
CHNGU;73,71;;-314,47;7,35;2,51;59,39;3,01;-2,20;28,43;127,47;41,76;1,34;6,92;113,30;-2,85;1,23;-2,34;-0,80;0,72;0,34;0,66;0,36;;;;10,02;-0,23;;9.025.200.665,00
CHNR;1,70;;-0,01;-3,94;24,75;1,47;-528.522,06;-711.366,67;-0,01;-0,01;0,00;;68,32;-3,91;-435,51;0,13;-41.075,23;-257.759,86;30.517,55;-6,28;7,28;0,36;;;;-0,43;-177,02;;13.936.430,00
CHPM;10,18;;11,96;-10,96;1,41;;;;11,96;11,96;0,00;;;-69,01;-1,41;0,09;-91,59;11,77;-91,59;-0,13;0,14;0,00;;;;-0,93;0,85;;265.809.980,00
CHPMU;10,15;;11,93;-10,92;1,40;;;;11,93;11,96;0,00;;;-68,80;-1,41;0,09;-91,59;11,77;-91,59;-0,13;0,14;0,00;;;;-0,93;0,85;;265.809.980,00
CHPMW;0,00;;;;;;;;;11,96;0,00;;;;;0,09;-91,59;11,77;-91,59;-0,13;0,14;0,00;;;;-0,93;0,85;;265.809.980,00
CHPT;2,75;;-2,69;3,60;0,93;15,63;-63,68;-65,83;-3,03;-2,87;-0,09;0,11;1,77;2,82;-2,63;2,03;-133,63;-34,42;-62,44;0,26;0,74;0,52;;;;0,76;-1,02;;990.148.500,00
CHRA;2,18;;-0,22;-0,42;0,02;1,79;-4,53;-10,59;0,52;-10,87;-10,35;;0,02;0,41;-0,03;1,14;-188,59;-9,06;-8,17;-0,05;0,94;0,86;2,04;;;-5,25;-9,90;;7.417.668,00
CHRS;1,71;;-0,72;-1,09;0,41;49,89;-125,07;-145,18;-0,84;-2,28;-1,44;;1,05;0,88;-2,26;2,28;-151,13;-56,24;-76,50;-0,37;1,37;0,39;166,98;;;-1,57;-2,37;;190.432.782,00
CHRW;78,79;3,10;17,21;6,62;1,70;14,95;3,68;2,66;10,97;14,48;2,06;1,10;0,46;31,69;-3,90;1,11;38,48;9,88;20,30;0,26;0,74;3,72;10,68;13,25;;11,90;4,58;;9.190.932.290,00
CHS;7,47;;7,02;2,22;0,75;39,22;6,34;6,19;5,28;5,92;-0,94;-0,31;0,43;10,20;-1,28;1,21;31,63;10,63;29,68;0,34;0,66;1,72;-1,26;2,00;;3,36;1,06;;922.236.489,00
CHSCL;25,54;;;;;5,31;4,65;4,15;;0,68;0,68;0,15;;;;1,42;20,38;10,70;17,35;0,53;0,47;2,58;8,33;87,94;;;;;0,00
CHSCM;24,66;;;;;5,31;4,65;4,15;;0,68;0,68;0,15;;;;1,42;20,38;10,70;17,35;0,53;0,47;2,58;8,33;87,94;;;;;0,00
CHSCN;25,28;;;;;5,31;4,65;4,15;;0,68;0,68;0,15;;;;1,42;20,38;10,70;17,35;0,53;0,47;2,58;8,33;87,94;;;;;0,00
CHSCO;26,26;;;;;5,31;4,65;4,15;;0,68;0,68;0,15;;;;1,42;20,38;10,70;17,35;0,53;0,47;2,58;8,33;87,94;;;;;0,00
CHSCP;29,56;;;;;5,31;4,65;4,15;;0,68;0,68;0,15;;;;1,42;20,38;10,70;17,35;0,53;0,47;2,58;8,33;87,94;;;;;0,00
CHT;35,96;4,25;21,43;2,19;1,56;36,48;21,54;17,04;;16,34;-0,61;-0,08;3,65;44,77;-1,97;1,20;10,24;7,27;9,50;0,71;0,29;0,43;-1,60;-1,81;;16,40;1,68;;27.895.779.412,00
CHTR;406,55;;12,81;5,42;0,41;38,76;22,21;8,60;2,89;12,98;8,02;8,76;1,10;-7,07;-0,42;0,33;42,30;3,20;9,65;0,08;0,92;0,37;5,37;-12,57;;75,03;31,74;;60.136.997.965,00
CHU;0,00;;;;;93,83;76,53;3,82;;-0,17;-0,17;-0,12;;;;0,49;3,60;2,05;70,68;0,57;0,43;0,54;0,88;2,42;;;;;0,00
CHUY;34,39;;22,59;2,28;1,22;20,46;6,82;5,97;9,83;17,04;-2,74;-0,32;1,35;12,25;-1,52;2,08;10,11;5,42;10,11;0,54;0,46;0,91;2,70;-6,35;;15,06;1,52;;596.755.914,00
CHW;5,47;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHWY;19,38;;168,65;22,92;2,88;28,31;0,50;0,46;53,29;136,71;-16,61;-2,48;0,77;-57,63;-7,96;0,93;13,59;1,71;13,59;0,13;0,87;3,72;36,85;;;0,85;0,11;;8.355.462.192,00
CHX;29,15;1,13;18,62;3,30;1,71;30,00;11,83;8,02;8,17;13,33;0,70;0,18;1,49;8,21;-3,11;1,87;17,71;9,21;15,47;0,52;0,48;1,15;30,37;7,18;;8,84;1,57;;5.678.420.000,00
CHY;11,37;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CI;293,39;1,64;12,93;1,89;0,57;81,83;5,18;3,57;6,81;11,22;2,31;0,49;0,46;;-0,57;;14,61;4,43;10,40;0,30;0,70;1,24;33,98;24,41;;155,30;22,69;;85.851.781.800,00
CIA;3,15;;-34,07;1,06;0,10;31,67;-2,29;-1,93;1.530,30;-24,75;3,88;-0,14;0,66;;-0,10;;-3,12;-0,28;-4,31;0,09;0,91;0,15;-1,64;;;2,96;-0,09;;156.090.375,00
CIB;27,04;11,58;5,41;0,62;0,07;79,69;0,00;16,04;;;;-0,04;0,87;1,66;-0,35;1,05;11,42;1,28;;0,11;0,89;0,08;-0,66;9,35;;43,79;5,00;;6.501.951.872,00
CIDM;0,29;;-5,68;1,33;0,55;49,77;-11,33;-12,65;-12,23;-5,86;0,48;-0,10;0,72;-11,54;-1,07;0,91;-23,51;-9,64;-19,21;0,41;0,59;0,76;-9,11;;;0,22;-0,05;;51.936.796,00
CIEN;43,92;;29,34;2,20;1,13;43,19;9,37;5,23;12,09;17,14;0,75;0,10;1,54;2,28;-3,40;3,95;7,51;3,87;6,64;0,51;0,49;0,74;5,33;-34,43;;19,93;1,50;;6.493.238.208,00
CIF;1,58;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CIG;2,56;8,52;10,45;1,36;0,52;16,49;11,11;8,03;;9,38;1,83;0,33;0,84;10,05;-0,71;1,25;13,02;4,98;11,05;0,38;0,62;0,62;-0,06;20,74;;1,88;0,24;;5.633.342.720,00
CIG.C;3,47;5,17;14,17;1,84;0,71;16,49;11,11;8,03;;9,38;1,83;0,33;1,14;13,62;-0,96;1,25;13,02;4,98;11,05;0,38;0,62;0,62;-0,06;20,74;;1,88;0,24;;5.633.342.720,00
CIGI;97,03;0,31;68,29;9,36;1,09;37,86;8,01;1,46;;15,34;2,87;2,16;1,00;54,34;-1,60;1,07;13,71;1,60;14,86;0,12;0,88;1,10;12,86;-2,07;;10,36;1,42;;4.577.817.182,00
CIH;0,94;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CII;17,81;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CIIC;21,60;;-105,37;111,78;2,15;;;;;-109,24;0,07;-0,07;;-115,48;-2,15;0,08;-106,08;-2,04;-106,06;0,02;0,06;0,00;;;;0,19;-0,20;;558.899.978,40
CIICU;27,99;;-136,55;144,85;2,78;;;;;-109,24;0,07;-0,07;;-149,64;-2,79;0,08;-106,08;-2,04;-106,06;0,02;0,06;0,00;;;;0,19;-0,20;;558.899.978,40
CIICW;8,74;;-42,64;45,23;0,87;;;;;-109,24;0,07;-0,07;;-46,72;-0,87;0,08;-106,08;-2,04;-106,06;0,02;0,06;0,00;;;;0,19;-0,20;;558.899.978,40
CINF;99,39;2,96;9,32;1,47;0,50;22,06;21,78;17,14;6,96;7,32;-0,01;0,00;1,60;;-0,50;;15,76;5,41;15,03;0,34;0,66;0,32;-3,20;;;67,71;10,67;;15.595.056.303,00
CINR;20,31;;21,48;;0,74;14,15;9,42;3,84;5,13;11,52;2,77;;0,82;2,75;-1,20;3,42;;3,45;35,23;0,00;0,64;0,90;-4,21;-25,36;;0,00;0,95;;401.693.211,00
CINT;5,35;;68,51;3,32;1,49;51,47;35,26;3,83;;7,83;0,38;0,17;2,63;8,70;-2,74;1,60;4,84;2,18;27,41;0,45;0,55;0,57;;;;1,61;0,08;;716.157.955,00
CIR;56,00;;-21,88;7,18;1,13;30,88;-1,20;-6,62;22,05;-165,95;-45,57;2,72;1,45;4,81;-1,97;2,22;-32,81;-5,15;-2,14;0,16;0,84;0,78;9,26;10,46;;7,80;-2,56;;1.141.940.800,00
CIT;53,50;;7,61;0,86;0,10;0,00;40,20;23,38;3,36;-4,31;-8,74;-1,70;1,78;;-0,10;;11,29;1,28;15,34;0,11;0,89;0,05;3,81;;;62,26;7,03;;5.305.578.950,00
CIVB;14,55;4,19;4,95;0,65;0,06;0,00;36,72;24,13;3,25;-3,58;-6,83;-1,37;1,19;;-0,06;;13,20;1,28;11,58;0,10;0,90;0,05;14,94;19,96;;22,29;2,94;;228.376.800,00
CIVI;69,48;6,99;6,33;1,29;0,64;83,40;44,60;32,80;2,88;4,92;0,26;0,07;2,08;2,97;-0,96;2,80;20,40;10,12;13,07;0,50;0,50;0,31;81,57;;;53,82;10,98;;6.515.403.624,00
CIXX;11,40;1,18;5,92;1,60;0,30;100,00;53,36;17,55;;3,27;1,32;1,09;1,04;-2,35;-0,38;0,62;26,99;5,13;23,16;0,19;0,81;0,29;;;;7,14;1,93;;2.155.033.200,00
CIZN;9,90;8,08;8,58;1,39;0,04;0,00;22,72;12,12;4,57;-34,93;-39,51;-11,96;1,04;;-0,04;;16,15;0,50;6,46;0,03;0,97;0,04;5,45;21,03;;7,15;1,15;;55.602.360,00
CJJD;0,21;;-0,61;0,19;0,05;21,97;-5,93;-6,10;-0,81;-0,14;0,49;-0,15;0,04;0,68;-0,15;1,11;-31,54;-7,64;-13,99;0,24;0,76;1,25;8,37;;;1,09;-0,34;;4.976.412,00
CKH;41,50;;36,49;1,01;0,56;27,30;5,62;3,09;20,09;24,88;4,79;0,24;1,13;3,83;-0,75;2,22;2,76;1,52;3,14;0,55;0,45;0,49;7,63;;;41,20;1,14;;850.690.406,00
CKPT;1,80;;-0,66;-1,67;4,66;100,00;-31.185,64;-31.185,64;-0,66;-0,54;0,13;;206,75;-1,67;;0,26;-251,95;-703,15;251,95;-2,79;3,79;0,02;-35,54;;;-1,08;-2,72;;38.868.300,00
CL;76,11;2,51;39,49;-6.962,99;3,91;57,22;13,25;8,29;20,29;27,78;3,07;;3,27;83,00;-5,86;1,16;-17.633,33;9,89;19,94;0,00;1,00;1,19;3,06;-2,48;;-0,01;1,93;;62.666.865.753,00
CLA;12,00;;-5,45;0,06;0,00;;;;;14,23;19,59;-0,22;;0,22;0,00;14,66;-1,10;-0,03;-1,12;0,02;0,98;0,00;;;;200,00;-2,20;;300.000,00
CLA.U;13,45;;-6,11;0,07;0,00;;;;;14,23;19,59;-0,22;;0,25;0,00;14,66;-1,10;-0,03;-1,12;0,02;0,98;0,00;;;;200,00;-2,20;;300.000,00
CLA.WS;2,93;;-1,33;0,01;0,00;;;;;14,23;19,59;-0,22;;0,05;0,00;14,66;-1,10;-0,03;-1,12;0,02;0,98;0,00;;;;200,00;-2,20;;300.000,00
CLAR;4,99;2,00;-2,59;0,71;0,41;35,47;-19,69;-19,79;-3,62;-4,07;-1,47;0,40;0,51;1,23;-0,75;3,89;-27,36;-15,93;-21,39;0,58;0,42;0,81;21,29;;;7,05;-1,93;;205.233.710,00
CLB;18,68;0,27;36,76;4,46;1,47;20,80;9,63;4,72;13,40;21,40;3,39;0,84;1,73;6,59;-2,38;2,38;12,14;3,99;9,66;0,33;0,67;0,85;-5,44;-25,21;;4,19;0,51;;871.690.992,00
CLBK;16,44;;27,33;1,69;0,17;0,00;33,72;16,63;11,50;9,96;-3,52;-0,44;4,54;;-0,17;;6,18;0,63;4,95;0,10;0,90;0,04;10,58;28,33;;9,74;0,60;;1.726.957.884,00
CLBS;0,42;;-1,04;0,31;0,30;;;;-1,03;1,76;2,70;-0,89;;0,36;-2,33;22,33;-29,82;-28,61;-35,84;0,96;0,04;0,00;;;;1,36;-0,41;;25.444.944,00
CLCT;91,92;;63,24;27,42;12,90;58,61;19,27;14,68;;46,15;-2,04;-1,16;9,28;42,45;-40,28;1,81;43,36;20,39;41,06;0,47;0,53;1,39;;;;3,35;1,45;;830.612.191,92
CLDB;29,15;;12,76;1,49;0,16;0,00;33,69;28,04;10,62;-9,47;-20,09;-2,82;3,58;;-0,16;;11,68;1,23;10,41;0,10;0,90;0,04;6,69;13,55;;19,55;2,28;;124.068.230,00
CLDR;15,99;;-33,28;4,26;1,98;80,84;-15,43;-15,73;415,56;-34,27;-0,35;0,04;5,23;44,53;-2,79;1,18;-12,80;-5,95;-8,91;0,47;0,53;0,38;39,25;;;3,75;-0,48;;4.736.508.231,00
CLDX;26,49;;-11,07;4,51;4,18;100,00;-3.476,77;-3.476,77;-11,06;-8,84;2,22;-0,91;384,77;5,02;-36,30;16,93;-40,76;-37,80;-40,62;0,93;0,07;0,01;-28,65;;;5,87;-2,39;;1.252.028.658,00
CLEU;0,16;;;;;;;;;;;-0,78;;;;26,00;0,00;0,00;;0,96;0,04;0,00;24,46;;;0,85;0,00;;7.935.728,00
CLF;16,55;;24,57;1,04;0,46;5,30;3,72;1,55;4,64;14,44;4,20;0,43;0,38;2,29;-0,75;2,11;4,24;1,88;5,92;0,44;0,56;1,21;65,24;29,47;;15,89;0,67;;8.355.454.515,00
CLFD;24,39;;7,95;1,19;1,03;35,28;19,48;14,91;5,78;3,47;-2,61;-0,51;1,19;1,40;-6,41;8,21;15,01;12,96;15,18;0,86;0,14;0,87;29,65;66,58;;20,44;3,07;;372.235.302,00
CLGN;5,70;;-4,35;1,65;1,47;-31,27;-2.551,72;-2.576,29;;-1,95;2,45;-0,92;112,12;1,82;-10,63;16,21;-37,95;-33,76;-37,59;0,89;0,11;0,01;185,13;;;3,45;-1,31;;65.251.890,00
CLGX;80,00;;19,54;8,14;1,38;63,65;20,15;18,35;11,21;22,81;5,02;2,30;3,59;30,63;-1,54;1,69;41,67;7,04;11,34;0,17;0,83;0,38;1,45;18,71;;9,82;4,09;;5.889.478.560,00
CLH;161,59;;24,14;4,00;1,40;30,56;8,99;6,77;10,23;22,10;3,92;0,86;1,63;8,96;-2,03;2,00;16,56;5,79;8,06;0,35;0,65;0,86;11,90;32,52;;40,41;6,69;;8.739.805.217,00
CLII;14,36;;;;;;;;;;;-8,75;;;;1,03;0,00;0,00;;0,03;0,97;0,00;;;;0,00;0,00;;412.850.000,00
CLII.U;16,88;;;;;;;;;;;-8,75;;;;1,03;0,00;0,00;;0,03;0,97;0,00;;;;0,00;0,00;;412.850.000,00
CLII.WS;3,81;;;;;;;;;;;-8,75;;;;1,03;0,00;0,00;;0,03;0,97;0,00;;;;0,00;0,00;;412.850.000,00
CLIR;0,90;;-6,27;4,85;3,34;24,75;-390,48;-390,48;-6,82;-4,78;1,49;-1,15;24,48;5,68;-27,76;3,01;-77,35;-53,25;-74,30;0,69;0,31;0,14;-7,08;;;0,19;-0,14;;34.705.890,00
CLLS;2,49;;-1,22;0,77;0,43;60,84;-458,75;-364,36;;0,00;0,97;-0,76;4,45;1,15;-0,95;3,17;-62,74;-35,30;-72,70;0,56;0,44;0,10;-5,27;;;3,25;-2,04;;138.403.662,00
CLM;7,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLMT;15,18;;-26,97;;0,43;8,11;2,93;-1,07;4,96;24,25;14,42;;0,29;-3,46;-0,62;0,71;;-1,60;6,53;0,00;1,11;1,50;4,48;;;0,00;-0,56;;1.213.766.994,00
CLNE;3,27;;-9,56;1,05;0,70;21,49;-14,23;-16,51;-48,40;-10,43;0,66;-0,06;1,58;2,76;-1,11;3,06;-10,97;-7,29;-7,77;0,66;0,34;0,44;4,23;;;3,12;-0,34;;729.101.436,00
